angle01,angle02,angle03,angle11,angle12,angle13,angle21,angle22,angle23,angle31,angle32,angle33,angle41,angle42,angle43,label_id
0.82,0.94,0.94,0.9,0.28,0.89,0.94,0.2,0.93,0.92,0.25,0.88,0.88,0.28,0.89,1
0.81,0.93,0.94,0.89,0.39,0.81,0.94,0.24,0.92,0.93,0.3,0.86,0.88,0.33,0.87,1
0.82,0.94,0.94,0.89,0.31,0.87,0.94,0.22,0.92,0.92,0.27,0.87,0.88,0.29,0.89,1
0.82,0.94,0.95,0.88,0.29,0.86,0.94,0.21,0.92,0.92,0.26,0.87,0.87,0.29,0.88,1
0.83,0.94,0.96,0.89,0.27,0.87,0.94,0.2,0.92,0.93,0.26,0.87,0.88,0.29,0.87,1
0.84,0.93,0.97,0.88,0.23,0.88,0.94,0.18,0.92,0.92,0.24,0.87,0.87,0.27,0.88,1
0.84,0.92,0.97,0.88,0.29,0.86,0.93,0.22,0.91,0.91,0.28,0.86,0.87,0.31,0.87,1
0.84,0.91,0.98,0.87,0.34,0.84,0.93,0.25,0.89,0.91,0.31,0.84,0.86,0.34,0.85,1
0.84,0.89,0.98,0.87,0.46,0.79,0.92,0.32,0.87,0.9,0.38,0.81,0.86,0.41,0.83,1
0.84,0.89,0.98,0.86,0.49,0.82,0.91,0.34,0.89,0.89,0.39,0.83,0.85,0.41,0.83,1
0.84,0.89,0.98,0.86,0.46,0.82,0.91,0.31,0.89,0.89,0.35,0.83,0.84,0.38,0.84,1
0.84,0.89,0.98,0.86,0.42,0.84,0.91,0.3,0.89,0.89,0.35,0.83,0.85,0.38,0.84,1
0.84,0.89,0.98,0.86,0.43,0.84,0.91,0.3,0.89,0.89,0.35,0.83,0.85,0.39,0.83,1
0.83,0.89,0.98,0.86,0.48,0.82,0.91,0.32,0.89,0.89,0.38,0.82,0.84,0.42,0.83,1
0.84,0.88,0.98,0.87,0.48,0.81,0.91,0.34,0.89,0.89,0.4,0.82,0.84,0.43,0.83,1
0.84,0.88,0.98,0.88,0.45,0.78,0.92,0.32,0.87,0.9,0.39,0.79,0.86,0.42,0.81,1
0.84,0.89,0.98,0.89,0.34,0.83,0.94,0.24,0.89,0.91,0.31,0.84,0.87,0.34,0.84,1
0.84,0.89,0.98,0.88,0.47,0.74,0.94,0.31,0.87,0.91,0.37,0.8,0.87,0.38,0.82,1
